run_dir,scenario,condition,replicate,controller_mode,requested_delay_ms,duration_s,task_duration_s,task_completed,trial_valid,outcome,stop_reason,minimum_pairwise_distance_m,collision_threshold_episodes,ack_rate_pct,rtt_mean_ms,rtt_p95_ms,actual_delay_mean_ms,actual_delay_p95_ms,vision_processing_mean_ms,frame_wait_mean_ms,homography_valid_rate_pct,detection_rate_pct,path_length_m,distance_rmse_m,heading_mae_deg,control_effort_abs_pct_s,state_transitions,angular_sign_changes,targets_reached
paper/resultados/raw/cruce_2/20260817_205636_cruce_2_proposed_final_r01,cruce_2,proposed_final,1,apf_fsm,0.0,28.856315699988045,27.464995999995153,1.0,1.0,success,completed,0.12743352517238718,0.0,0.0,nan,nan,0.0,0.0,64.41555347916184,17.9508591307398,100.0,98.26086956521739,2.0498846157886463,0.5569388890249637,28.467928377019565,3107.514645397867,6.0,31.0,2.0
paper/resultados/raw/cruce_2/20260817_205750_cruce_2_baseline_final_r01,cruce_2,baseline_final,1,apf_puro,0.0,19.55783540001721,18.123440299998038,1.0,1.0,success,completed,0.17625076523370203,0.0,0.0,nan,nan,0.0,0.0,71.21959510479135,18.028414684675074,100.0,99.3006993006993,1.9066231917698817,0.48227968348938544,31.833926621884565,2237.4331608009525,0.0,13.0,2.0
paper/resultados/raw/cruce_2/20260817_205848_cruce_2_baseline_final_r02,cruce_2,baseline_final,2,apf_puro,0.0,28.688801299984334,27.395542799989926,1.0,1.0,success,completed,0.17210321404102394,0.0,0.0,nan,nan,0.0,0.0,64.98462314499892,18.049196942681935,100.0,99.12663755458516,1.9865328525510293,0.5066577366624416,36.656737220386255,2791.735590000375,0.0,11.0,2.0
paper/resultados/raw/cruce_2/20260817_205952_cruce_2_proposed_final_r02,cruce_2,proposed_final,2,apf_fsm,0.0,23.07052740000654,21.795676700014155,1.0,1.0,success,completed,0.16863761264900579,0.0,0.0,nan,nan,0.0,0.0,64.15184408674136,16.96264032294513,100.0,98.11827956989248,1.937715848005875,0.5068701206197599,27.031496091038605,2400.110320900043,6.0,24.0,2.0
paper/resultados/raw/cruce_2_perpendicular/20260817_212626_cruce_2_perpendicular_proposed_final_r01,cruce_2_perpendicular,proposed_final,1,apf_fsm,0.0,22.33000349998474,20.999941999994917,1.0,1.0,success,completed,0.24949309706075998,0.0,0.0,nan,nan,0.0,0.0,67.53142307734271,18.359224852064305,100.0,98.81656804733728,1.7892990757463056,0.5499321200006022,25.516631498209335,2519.8221037014737,6.0,20.0,2.0
paper/resultados/raw/cruce_2_perpendicular/20260817_213232_cruce_2_perpendicular_baseline_final_r01,cruce_2_perpendicular,baseline_final,1,apf_puro,0.0,17.874737900012406,16.45746620002319,1.0,1.0,success,completed,0.22445845983997678,0.0,0.0,nan,nan,0.0,0.0,80.1053809536536,28.48960793487513,100.0,100.0,1.6375911532104768,0.5177154580258712,27.115354253413376,1708.8284244022216,0.0,17.0,2.0
paper/resultados/raw/cruce_2_perpendicular/20260817_213324_cruce_2_perpendicular_baseline_final_r02,cruce_2_perpendicular,baseline_final,2,apf_puro,0.0,25.848352500004694,17.71548020001501,0.0,1.0,task_failure,scenario_stalled_R2,0.20280453004381238,0.0,0.0,nan,nan,0.0,0.0,82.61745344632006,18.062391955487097,100.0,97.12643678160919,2.1432873531715817,0.47471269988393894,39.12185174255352,2650.4628453012847,0.0,23.0,1.0
paper/resultados/raw/cruce_2_perpendicular/20260817_213502_cruce_2_perpendicular_proposed_final_r02,cruce_2_perpendicular,proposed_final,2,apf_fsm,0.0,24.74136169999838,23.29744529997697,1.0,1.0,success,completed,0.19512630758220237,0.0,0.0,nan,nan,0.0,0.0,80.6769145355522,18.198323837443535,100.0,98.83720930232559,2.0995833952340703,0.5280051170620473,35.86108607245404,2637.8143233012524,10.0,22.0,2.0
paper/resultados/raw/cruce_2_perpendicular/20260817_213650_cruce_2_perpendicular_proposed_final_r03,cruce_2_perpendicular,proposed_final,3,apf_fsm,0.0,33.39396900002612,31.9759650999913,1.0,1.0,success,completed,0.1877166972003723,0.0,0.0,nan,nan,0.0,0.0,81.91212521671095,18.85005999913277,100.0,99.56521739130434,2.5175816576105756,0.5158690854557666,42.58714718854,3757.2429082996387,18.0,44.0,2.0
paper/resultados/raw/cruce_2_perpendicular/20260817_213808_cruce_2_perpendicular_baseline_final_r03,cruce_2_perpendicular,baseline_final,3,apf_puro,0.0,21.935776000027545,20.51985650000279,1.0,1.0,success,completed,0.153230890988262,0.0,0.0,nan,nan,0.0,0.0,79.95586013124671,18.000651634674142,100.0,99.67320261437908,2.3251121062146716,0.4956281491406148,40.199784013436144,2436.5908680003777,0.0,24.0,2.0
