wall_time_iso,t_wall,t_perf,session_elapsed_s,stage,robot_id,seq,left_cmd,right_cmd,requested_delay_ms,actual_delay_ms,scheduled_perf,sent_perf,ack_perf,rtt_ms,esp_rx_ms,duplicate,ack_requested,success,error
2026-08-18T01:57:50.903+00:00,1787018270.9037125,178083.3183725,0.18549570001778193,send_error,1,5,0,0,0.0,0.0,178083.318366,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.016+00:00,1787018271.0163972,178083.4316061,0.2987293000041973,sent,2,6,35,-35,0.0,0.0,178083.4309502,178083.4310782,,,,,0,1,
2026-08-18T01:57:51.017+00:00,1787018271.0179708,178083.4325371,0.299660299991956,sent,3,7,-18,63,0.0,0.0,178083.4321143,178083.4322155,,,,,0,1,
2026-08-18T01:57:51.017+00:00,1787018271.0179708,178083.4326103,0.2997334999963641,send_error,10,8,0,0,0.0,0.0,178083.4326068,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.146+00:00,1787018271.1462011,178083.5607048,0.427828000014415,send_error,1,9,0,0,0.0,0.0,178083.5606957,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.153+00:00,1787018271.1532032,178083.568272,0.43539520000922494,sent,2,10,35,-35,0.0,0.0,178083.5677902,178083.5678116,,,,,0,1,
2026-08-18T01:57:51.154+00:00,1787018271.1542048,178083.5693335,0.4364567000011448,sent,3,11,18,43,0.0,0.0,178083.5687661,178083.5688482,,,,,0,1,
2026-08-18T01:57:51.154+00:00,1787018271.1542048,178083.5694072,0.43653040000936016,send_error,10,12,0,0,0.0,0.0,178083.5694032,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.290+00:00,1787018271.2905328,178083.7100906,0.5772138000174891,send_error,1,13,0,0,0.0,0.0,178083.710054,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.303+00:00,1787018271.3039334,178083.7190376,0.5861608000122942,sent,2,14,35,-35,0.0,0.0,178083.7186055,178083.7187605,,,,,0,1,
2026-08-18T01:57:51.305+00:00,1787018271.3050177,178083.7197192,0.5868423999927472,sent,3,15,18,43,0.0,0.0,178083.719488,178083.7195695,,,,,0,1,
2026-08-18T01:57:51.305+00:00,1787018271.3050177,178083.7197534,0.5868765999912284,send_error,10,16,0,0,0.0,0.0,178083.7197507,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.450+00:00,1787018271.4509277,178083.8656639,0.7327871000161394,send_error,1,17,0,0,0.0,0.0,178083.8656363,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.457+00:00,1787018271.4575303,178083.8730004,0.7401236000005156,sent,2,18,35,-35,0.0,0.0,178083.872375,178083.8725294,,,,,0,1,
2026-08-18T01:57:51.457+00:00,1787018271.4575303,178083.8737996,0.7409228000033181,sent,3,19,18,43,0.0,0.0,178083.8735146,178083.8736136,,,,,0,1,
2026-08-18T01:57:51.457+00:00,1787018271.4575303,178083.8738423,0.7409655000083148,send_error,10,20,0,0,0.0,0.0,178083.8738395,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.589+00:00,1787018271.5894854,178084.0046362,0.871759400004521,send_error,1,21,0,0,0.0,0.0,178084.0046069,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.597+00:00,1787018271.5977159,178084.0127553,0.8798785000108182,sent,2,22,35,-35,0.0,0.0,178084.0121019,178084.0122332,,,,,0,1,
2026-08-18T01:57:51.598+00:00,1787018271.5987182,178084.0139361,0.8810593000089284,sent,3,23,19,42,0.0,0.0,178084.0134555,178084.0135522,,,,,0,1,
2026-08-18T01:57:51.598+00:00,1787018271.5987182,178084.0139895,0.8811127000080887,send_error,10,24,0,0,0.0,0.0,178084.0139867,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.727+00:00,1787018271.7278435,178084.143247,1.0103702000051271,send_error,1,25,0,0,0.0,0.0,178084.1432378,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.737+00:00,1787018271.7372093,178084.1517224,1.018845600017812,sent,2,26,35,-35,0.0,0.0,178084.1514785,178084.1516106,,,,,0,1,
2026-08-18T01:57:51.737+00:00,1787018271.7372093,178084.152409,1.0195322000072338,sent,3,27,26,43,0.0,0.0,178084.1521696,178084.1522552,,,,,0,1,
2026-08-18T01:57:51.737+00:00,1787018271.7372093,178084.1524438,1.0195670000102837,send_error,10,28,0,0,0.0,0.0,178084.1524411,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.859+00:00,1787018271.8598828,178084.2749545,1.142077700002119,send_error,1,29,0,0,0.0,0.0,178084.2749375,,,,,,,0,robot_not_discovered
2026-08-18T01:57:51.863+00:00,1787018271.8638568,178084.2786461,1.1457692999974824,sent,2,30,20,-20,0.0,0.0,178084.2784026,178084.2784738,,,,,0,1,
